,First,Second,Fontsize,Tracking,Distance,
,n,z,70,36,37.5,
,z,f,72,-40,37.5,
,w,z,66,4,37.5,
,w,z,62,20,37.5,
,z,m,58,20,37.5,
,z,h,72,24,37.5,
,z,n,72,24,37.5,
,w,z,68,-20,37.5,
,z,w,62,-4,37.5,
,b,z,72,40,37.5,
,n,z,72,40,37.5,
,m,z,58,0,37.5,
,z,f,72,-36,37.5,
,g,z,70,40,37.5,
,z,h,70,40,37.5,
,h,z,70,40,37.5,
,z,n,70,40,37.5,
,u,z,70,40,37.5,
,z,p,72,8,37.5,
,q,z,72,8,37.5,
,l,z,64,-40,37.5,
,z,m,64,-40,37.5,
,q,z,72,4,37.5,
,m,z,58,8,37.5,
,z,w,66,-36,37.5,
,z,m,62,-28,37.5,
,z,p,72,0,37.5,
,m,z,56,28,37.5,
,m,z,64,-36,37.5,
,z,h,72,28,37.5,
,n,z,72,28,37.5,
,z,u,72,28,37.5,
,g,z,72,16,37.5,
,q,z,72,16,37.5,
,z,m,58,12,37.5,
,m,z,58,12,37.5,
,w,z,66,-8,37.5,
,w,l,58,-40,37.5,
,g,z,70,16,37.5,
,z,w,66,-40,37.5,
,z,m,58,16,37.5,
,m,z,58,16,37.5,
,g,z,72,12,37.5,
,m,z,64,-32,37.5,
,z,m,60,-12,37.5,
,z,m,58,28,37.5,
,w,z,62,28,37.5,
,n,z,72,20,37.0,
,z,u,72,20,37.0,
,u,z,72,20,37.0,
,z,w,60,20,37.0,
,w,z,60,20,37.0,
,z,b,70,24,37.0,
,d,z,70,24,37.0,
,z,p,70,24,37.0,
,q,z,70,24,37.0,
,w,z,64,0,37.0,
,z,p,66,40,37.0,
,z,w,58,32,37.0,
,w,z,60,36,37.0,
,w,z,64,-4,37.0,
,v,z,64,-28,37.0,
,z,k,72,36,37.0,
,p,z,72,36,37.0,
,z,v,72,36,37.0,
,z,d,72,32,37.0,
,z,g,72,32,37.0,
,p,z,72,32,37.0,
,z,u,72,32,37.0,
,z,v,72,32,37.0,
,w,z,60,32,37.0,
,m,z,60,-24,37.0,
,z,w,58,36,37.0,
,z,k,70,36,37.0,
,m,z,62,-40,37.0,
,w,z,64,4,37.0,
,d,z,70,20,37.0,
,z,p,70,20,37.0,
,w,z,60,24,37.0,
,h,z,72,24,37.0,
,z,o,72,24,37.0,
,d,z,68,40,37.0,
,q,z,68,40,37.0,
,z,m,62,-24,37.0,
,z,b,68,32,37.0,
,d,z,68,32,37.0,
,z,p,68,32,37.0,
,q,z,68,32,37.0,
,a,z,72,40,37.0,
,z,g,72,40,37.0,
,o,z,72,40,37.0,
,z,v,72,40,37.0,
,z,y,72,40,37.0,
,z,p,68,24,37.0,
,z,m,62,-32,37.0,
,z,b,70,8,37.0,
,z,p,70,8,37.0,
,z,m,62,-36,37.0,
,b,z,70,40,37.0,
,z,k,70,40,37.0,
,z,w,58,40,37.0,
,z,b,68,20,37.0,
,z,p,68,20,37.0,
,d,z,68,36,37.0,
,z,p,68,36,37.0,
,q,z,68,36,37.0,
,d,z,72,-4,37.0,
,q,z,72,-4,37.0,
,z,m,60,-4,37.0,
,d,z,72,8,37.0,
,z,h,72,8,37.0,
,z,b,72,-8,37.0,
,z,p,72,-8,37.0,
,z,m,60,-8,37.0,
,z,b,72,4,37.0,
,d,z,72,4,37.0,
,g,z,72,4,37.0,
,z,p,66,28,37.0,
,z,m,62,-12,37.0,
,z,b,68,28,37.0,
,d,z,68,28,37.0,
,z,p,68,28,37.0,
,z,b,72,0,37.0,
,d,z,72,0,37.0,
,z,p,68,16,37.0,
,z,m,60,-16,37.0,
,m,z,60,-16,37.0,
,z,g,72,28,37.0,
,h,z,72,28,37.0,
,z,k,72,28,37.0,
,o,z,72,28,37.0,
,u,z,72,28,37.0,
,z,v,72,28,37.0,
,z,y,72,28,37.0,
,u,z,72,16,37.0,
,z,w,64,-20,37.0,
,z,w,60,16,37.0,
,m,z,60,-28,37.0,
,z,b,70,12,37.0,
,z,p,70,12,37.0,
,z,b,70,16,37.0,
,d,z,70,16,37.0,
,w,z,64,-8,37.0,
,z,w,64,-24,37.0,
,z,b,72,12,37.0,
,m,z,60,-12,37.0,
,z,w,58,28,37.0,
,z,w,60,8,37.0,
,z,h,72,20,36.5,
,h,z,72,20,36.5,
,z,k,72,20,36.5,
,z,n,72,20,36.5,
,z,m,60,-36,36.5,
,z,m,56,20,36.5,
,z,h,70,24,36.5,
,n,z,70,24,36.5,
,z,u,70,24,36.5,
,z,b,66,40,36.5,
,g,z,66,40,36.5,
,z,h,70,32,36.5,
,h,z,70,32,36.5,
,z,n,70,32,36.5,
,n,z,70,32,36.5,
,z,o,70,32,36.5,
,z,u,70,32,36.5,
,u,z,70,32,36.5,
,w,z,62,4,36.5,
,m,z,60,-20,36.5,
,b,z,72,36,36.5,
,z,d,72,36,36.5,
,o,z,72,36,36.5,
,z,q,72,36,36.5,
,z,y,72,36,36.5,
,b,z,72,32,36.5,
,e,z,72,32,36.5,
,z,y,72,32,36.5,
,m,z,56,32,36.5,
,w,z,62,0,36.5,
,z,h,70,36,36.5,
,z,n,70,36,36.5,
,z,o,70,36,36.5,
,z,u,70,36,36.5,
,u,z,70,36,36.5,
,g,z,70,20,36.5,
,z,h,70,20,36.5,
,z,m,56,24,36.5,
,m,z,56,24,36.5,
,z,y,60,-32,36.5,
,g,z,68,40,36.5,
,z,h,68,40,36.5,
,h,z,68,40,36.5,
,n,z,68,40,36.5,
,z,u,68,40,36.5,
,z,b,66,36,36.5,
,w,z,62,-4,36.5,
,z,w,62,-24,36.5,
,z,m,58,-4,36.5,
,m,z,58,-4,36.5,
,g,z,68,32,36.5,
,z,h,68,32,36.5,
,z,d,72,40,36.5,
,e,z,72,40,36.5,
,z,q,72,40,36.5,
,m,z,56,40,36.5,
,m,z,62,-32,36.5,
,z,m,58,0,36.5,
,z,m,58,4,36.5,
,m,z,58,4,36.5,
,z,m,58,-12,36.5,
,m,z,62,-36,36.5,
,z,g,70,40,36.5,
,n,z,70,40,36.5,
,z,o,70,40,36.5,
,o,z,70,40,36.5,
,z,u,70,40,36.5,
,z,y,70,40,36.5,
,g,z,68,20,36.5,
,g,z,68,36,36.5,
,z,h,68,36,36.5,
,n,z,68,36,36.5,
,z,u,68,36,36.5,
,z,m,56,8,36.5,
,g,z,72,-4,36.5,
,z,p,72,-4,36.5,
,z,w,62,-20,36.5,
,z,n,72,8,36.5,
,d,z,72,-20,36.5,
,z,p,72,-20,36.5,
,q,z,72,-8,36.5,
,z,u,72,4,36.5,
,m,z,58,-20,36.5,
,z,m,58,8,36.5,
,g,z,70,4,36.5,
,d,z,72,-12,36.5,
,g,z,72,-12,36.5,
,z,p,72,-12,36.5,
,q,z,72,-12,36.5,
,z,w,62,-12,36.5,
,g,z,68,28,36.5,
,z,w,62,-16,36.5,
,d,z,72,-16,36.5,
,z,w,62,-8,36.5,
,z,w,62,-28,36.5,
,g,z,72,0,36.5,
,q,z,72,0,36.5,
,w,z,66,-20,36.5,
,m,z,58,-8,36.5,
,z,m,56,28,36.5,
,z,o,72,28,36.5,
,p,z,72,28,36.5,
,z,h,72,16,36.5,
,h,z,72,16,36.5,
,z,n,72,16,36.5,
,n,z,72,16,36.5,
,z,u,72,16,36.5,
,z,m,56,16,36.5,
,m,z,56,16,36.5,
,g,z,70,12,36.5,
,w,z,62,12,36.5,
,w,z,62,16,36.5,
,w,z,62,8,36.5,
,z,m,56,12,36.5,
,z,h,72,12,36.5,
,h,z,72,12,36.5,
,n,z,72,12,36.5,
,h,z,70,28,36.5,
,z,n,70,28,36.5,
,n,z,70,28,36.5,
,z,u,70,28,36.5,
,z,d,72,20,36.0,
,z,o,72,20,36.0,
,o,z,72,20,36.0,
,p,z,72,20,36.0,
,z,v,72,20,36.0,
,z,y,72,20,36.0,
,m,z,54,24,36.0,
,w,z,64,-16,36.0,
,m,z,60,-36,36.0,
,z,w,58,24,36.0,
,w,z,58,24,36.0,
,z,d,70,24,36.0,
,z,k,70,24,36.0,
,z,q,70,24,36.0,
,z,w,60,4,36.0,
,w,z,60,4,36.0,
,d,z,66,40,36.0,
,q,z,66,40,36.0,
,b,z,70,32,36.0,
,z,d,70,32,36.0,
,z,k,70,32,36.0,
,p,z,70,32,36.0,
,z,v,70,32,36.0,
,z,m,60,-20,36.0,
,z,m,54,32,36.0,
,a,z,72,36,36.0,
,a,z,72,32,36.0,
,o,z,72,32,36.0,
,z,m,54,36,36.0,
,m,z,54,36,36.0,
,z,m,60,-24,36.0,
,w,z,58,36,36.0,
,b,z,70,36,36.0,
,z,d,70,36,36.0,
,z,q,70,36,36.0,
,z,v,70,36,36.0,
,z,m,62,-40,36.0,
,z,w,60,0,36.0,
,q,z,70,20,36.0,
,z,w,58,20,36.0,
,l,z,60,-32,36.0,
,z,m,60,-32,36.0,
,w,z,64,-12,36.0,
,a,z,72,24,36.0,
,z,d,72,24,36.0,
,z,k,72,24,36.0,
,n,z,72,24,36.0,
,o,z,72,24,36.0,
,p,z,72,24,36.0,
,z,u,72,24,36.0,
,z,v,72,24,36.0,
,z,k,68,40,36.0,
,z,p,66,36,36.0,
,q,z,66,36,36.0,
,d,o,58,-28,36.0,
,z,p,70,-4,36.0,
,v,z,72,40,36.0,
,z,b,68,24,36.0,
,d,z,68,24,36.0,
,q,z,68,24,36.0,
,z,p,66,20,36.0,
,z,p,66,24,36.0,
,d,z,70,8,36.0,
,q,z,70,8,36.0,
,a,z,70,40,36.0,
,z,d,70,40,36.0,
,p,z,70,40,36.0,
,z,q,70,40,36.0,
,z,v,70,40,36.0,
,w,z,58,40,36.0,
,z,m,54,40,36.0,
,m,z,54,40,36.0,
,d,z,68,20,36.0,
,q,z,68,20,36.0,
,z,k,68,36,36.0,
,z,b,72,-4,36.0,
,u,z,72,-4,36.0,
,z,w,60,-4,36.0,
,z,g,72,8,36.0,
,g,z,72,8,36.0,
,z,o,72,8,36.0,
,u,z,72,8,36.0,
,z,b,72,-20,36.0,
,z,p,66,32,36.0,
,z,b,68,12,36.0,
,d,z,72,-8,36.0,
,z,w,60,-8,36.0,
,z,h,72,4,36.0,
,n,z,72,4,36.0,
,z,p,66,16,36.0,
,z,w,58,8,36.0,
,z,b,70,4,36.0,
,d,z,70,4,36.0,
,z,p,70,4,36.0,
,z,b,72,-12,36.0,
,q,z,68,28,36.0,
,z,b,70,0,36.0,
,z,p,70,0,36.0,
,u,z,72,0,36.0,
,z,b,70,-8,36.0,
,v,z,38,-40,36.0,
,z,b,68,16,36.0,
,w,z,60,28,36.0,
,z,w,64,-36,36.0,
,z,b,68,4,36.0,
,a,z,72,28,36.0,
,z,d,72,28,36.0,
,z,q,72,28,36.0,
,z,g,72,16,36.0,
,z,k,72,16,36.0,
,p,z,72,16,36.0,
,z,v,72,16,36.0,
,w,z,60,16,36.0,
,z,m,60,-28,36.0,
,z,w,58,12,36.0,
,d,z,70,12,36.0,
,q,z,70,12,36.0,
,z,k,70,16,36.0,
,q,z,70,16,36.0,
,z,w,58,16,36.0,
,z,w,60,12,36.0,
,w,z,60,12,36.0,
,z,g,72,12,36.0,
,z,k,72,12,36.0,
,z,n,72,12,36.0,
,z,u,72,12,36.0,
,u,z,72,12,36.0,
,z,y,72,12,36.0,
,z,m,54,28,36.0,
